latitude in degrees;latitude radians;radius in meters;gc;gnorth
0;0.0;6378135.0;9.8141995219431;3.721615639353488e-06
1;0.017453292519943295;6378135.0;9.814185250991722;-0.0005515326830511222
2;0.03490658503988659;6378135.0;9.8141419355871;-0.0011061238275405772
3;0.05235987755982989;6378135.0;9.814069627835092;-0.0016593769801931191
4;0.06981317007977318;6378135.0;9.813968415090912;-0.0022106189053892806
5;0.08726646259971647;6378135.0;9.813838419855028;-0.0027591787856679874
6;0.10471975511965978;6378135.0;9.813679799626529;-0.003304389035037294
7;0.12217304763960307;6378135.0;9.813492746714257;-0.003845586108482685
8;0.13962634015954636;6378135.0;9.813277488005815;-0.00438211130670601
9;0.15707963267948966;6378135.0;9.81303428469479;-0.004913311575133113
10;0.17453292519943295;6378135.0;9.812763431966491;-0.005438540296234568
11;0.19198621771937624;6378135.0;9.812465258642531;-0.005957158074211251
12;0.20943951023931956;6378135.0;9.812140126784742;-0.006468533511104814
13;0.22689280275926285;6378135.0;9.8117884312588;-0.00697204397340269
14;0.24434609527920614;6378135.0;9.811410599258139;-0.007467076348217633
15;0.2617993877991494;6378135.0;9.811007089788697;-0.00795302778813358
16;0.2792526803190927;6378135.0;9.810578393115055;-0.00842930644382188
17;0.29670597283903605;6378135.0;9.810125030168685;-0.008895332183546044
18;0.3141592653589793;6378135.0;9.809647551918948;-0.009350537298687333
19;0.33161255787892263;6378135.0;9.809146538707635;-0.009794367194439572
20;0.3490658503988659;6378135.0;9.808622599547787;-0.010226281064837965
21;0.3665191429188092;6378135.0;9.80807637138763;-0.010645752551304465
22;0.3839724354387525;6378135.0;9.807508518340546;-0.011052270383910838
23;0.4014257279586958;6378135.0;9.806919730881912;-0.011445339004580089
24;0.4188790204786391;6378135.0;9.806310725013809;-0.011824479171467452
25;0.4363323129985824;6378135.0;9.805682241398598;-0.012189228543783504
26;0.4537856055185257;6378135.0;9.805035044462342;-0.012539142246344413
27;0.47123889803846897;6378135.0;9.804369921469181;-0.012873793413157248
28;0.4886921905584123;6378135.0;9.803687681567759;-0.013192773709372692
29;0.5061454830783556;6378135.0;9.802989154810811;-0.013495693830961993
30;0.5235987755982988;6378135.0;9.802275191149114;-0.013782183981501054
31;0.5410520681182421;6378135.0;9.801546659400952;-0.014051894325470729
32;0.5585053606381855;6378135.0;9.800804446198415;-0.014304495417509777
33;0.5759586531581288;6378135.0;9.800049454911665;-0.014539678607085046
34;0.5934119456780721;6378135.0;9.79928260455259;-0.014757156418071755
35;0.6108652381980153;6378135.0;9.798504828659077;-0.014956662902766602
36;0.6283185307179586;6378135.0;9.797717074161243;-0.015137953969886007
37;0.6457718232379019;6378135.0;9.79692030023106;-0.01530080768613267
38;0.6632251157578453;6378135.0;9.79611547711667;-0.01544502455094483
39;0.6806784082777885;6378135.0;9.795303584962843;-0.015570427744074371
40;0.6981317007977318;6378135.0;9.794485612619006;-0.01567686334567197
41;0.7155849933176751;6378135.0;9.793662556436267;-0.015764200528590802
42;0.7330382858376184;6378135.0;9.79283541905488;-0.01583233172265294
43;0.7504915783575618;6378135.0;9.792005208183653;-0.01588117275065662
44;0.767944870877505;6378135.0;9.791172935372751;-0.01591066293593636
